,etiquetaoriginal,tweet,tweetF,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,TweetNeutro,TweetPositivo,TweetNegativo,
12,NEU,Lo bueno del frío es que puedo comer como siempre y echarle la culpa al mismo,"['Lo', 'bueno', 'del', 'frío', 'es', 'que', 'puedo', 'comer', 'como', 'siempre', 'y', 'echarle', 'la', 'culpa', 'al', 'mismo']",0.0625,0.0625,0.0625,0,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0,1,0,0
13,NEU,"@Lonchs En ese caso, todo bien. Tengo derecho a equivocarme si su tweet es ambiguo Hahahaha. Saludotes","['', 'Lonchs', 'En', 'ese', 'caso', 'todo', 'bien', 'Tengo', 'derecho', 'a', 'equivocarme', 'si', 'su', 'tweet', 'es', 'ambiguo', 'Hahahaha', 'Saludotes']",0,0,0,0.058823529,0,0.117647059,0,0.058823529,0,0,0,0,1,0
14,P,"@Sharhell Solo es cuestión de ponerle bastante, Dios nos ayude bastante love u tooo te voy a extrañar","['', 'Sharhell', 'Solo', 'es', 'cuestión', 'de', 'ponerle', 'bastante', 'Dios', 'nos', 'ayude', 'bastante', 'love', 'u', 'tooo', 'te', 'voy', 'a', 'extrañar']",0,0.055555556,0,0.055555556,0.055555556,0,0.166666667,0,0,0.166666667,0,1,0,1
15,N,"Massimo Bottura está en América. Está en México. Y yo estoy aquí, acostada en mi cama, sufriendoooo!!! Quiero conocerlo","['Massimo', 'Bottura', 'está', 'en', 'América', 'Está', 'en', 'México', 'Y', 'yo', 'estoy', 'aquí', 'acostada', 'en', 'mi', 'cama', 'sufriendoooo', 'Quiero', 'conocerlo']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,NEU,@vernonist ¿en serio? :0 aprendo gracias a un sitio que una amiga me recomendó y ahora estoy viendo unos videos,"['', 'vernonist', 'en', 'serio', '0', 'aprendo', 'gracias', 'a', 'un', 'sitio', 'que', 'una', 'amiga', 'me', 'recomendó', 'y', 'ahora', 'estoy', 'viendo', 'unos', 'videos']",0,0,0,0,0,0,0.05,0,0,0,0,1,0,0
17,P,@Amareto gracias Susana. Ojalá así sea en el futuro. La verdad ahorita prefiero estar un poco preocupado que pasarme de sobreconfiado,"['', 'Amareto', 'gracias', 'Susana', 'Ojalá', 'así', 'sea', 'en', 'el', 'futuro', 'La', 'verdad', 'ahorita', 'prefiero', 'estar', 'un', 'poco', 'preocupado', 'que', 'pasarme', 'de', 'sobreconfiado']",0,0,0,0.047619048,0,0.047619048,0.047619048,0.047619048,0,0.047619048,1,0,0,0
18,P,"@mendezcr nah! Yo estoy lleno de tattos y me arranco pellejitos, aprendí como razcarme y la verdad no les ha pasado nada","['', 'mendezcr', 'nah', 'Yo', 'estoy', 'lleno', 'de', 'tattos', 'y', 'me', 'arranco', 'pellejitos', 'aprendí', 'como', 'razcarme', 'y', 'la', 'verdad', 'no', 'les', 'ha', 'pasado', 'nada']",0,0,0.045454545,0,0,0.045454545,0.045454545,0.045454545,0,0.045454545,1,0,0,0
19,N,"Me puse la vacuna de los ""30"", como dice mami, pero es la del tetano y me duele muchísimo el brazo, pero exagerado.","['Me', 'puse', 'la', 'vacuna', 'de', 'los', '30', 'como', 'dice', 'mami', 'pero', 'es', 'la', 'del', 'tetano', 'y', 'me', 'duele', 'muchísimo', 'el', 'brazo', 'pero', 'exagerado', '']",0,0,0,0,0,0.043478261,0.043478261,0,0,0,1,0,0,0
20,N,@piladetrastos Yo no lo puedo ver. No puedo darme el lujo de tanta tristeza a un mes y 6 días de mi debut internacional,"['', 'piladetrastos', 'Yo', 'no', 'lo', 'puedo', 'ver', 'No', 'puedo', 'darme', 'el', 'lujo', 'de', 'tanta', 'tristeza', 'a', 'un', 'mes', 'y', '6', 'días', 'de', 'mi', 'debut', 'internacional']",0,0.041666667,0,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0,0.041666667,1,0,0,0
21,P,"Me puse mi ropa deportiva que usaba para nadar y me siento como esa gente a la que la pubertad hace boom, por primera vez.","['Me', 'puse', 'mi', 'ropa', 'deportiva', 'que', 'usaba', 'para', 'nadar', 'y', 'me', 'siento', 'como', 'esa', 'gente', 'a', 'la', 'que', 'la', 'pubertad', 'hace', 'boom', 'por', 'primera', 'vez', '']",0,0.04,0,0.04,0.04,0,0.04,0,0,0,0,1,0,1
22,P,"@dileivac ahh, por lo menos. Es que si me decia Alicia o Emilia la mandaba a dar por perdido porel curso. ¡RELAJESE! NO SE VA QUEDAR.","['', 'dileivac', 'ahh', 'por', 'lo', 'menos', 'Es', 'que', 'si', 'me', 'decia', 'Alicia', 'o', 'Emilia', 'la', 'mandaba', 'a', 'dar', 'por', 'perdido', 'porel', 'curso', 'RELAJESE', 'NO', 'SE', 'VA', 'QUEDAR', '']",0,0,0,0,0,0.038461538,0,0.038461538,0,0,0,0,1,0
23,NEU,"Mi deseo para el 2017 es: que la gente buena no se canse de ser buena, porque es más difícil que la gente que hace mal cambie","['Mi', 'deseo', 'para', 'el', '2017', 'es', 'que', 'la', 'gente', 'buena', 'no', 'se', 'canse', 'de', 'ser', 'buena', 'porque', 'es', 'más', 'difícil', 'que', 'la', 'gente', 'que', 'hace', 'mal', 'cambie']",0.037037037,0,0.037037037,0.037037037,0,0.037037037,0,0.037037037,0,0,0,0,1,0
24,N,Siempre existira ese tipo de mujer que no entiende que no se debe de andar de regalada cuando el mae Ya tiene Novia y no ocupa a otra,"['Siempre', 'existira', 'ese', 'tipo', 'de', 'mujer', 'que', 'no', 'entiende', 'que', 'no', 'se', 'debe', 'de', 'andar', 'de', 'regalada', 'cuando', 'el', 'mae', 'Ya', 'tiene', 'Novia', 'y', 'no', 'ocupa', 'a', 'otra']",0,0.035714286,0,0,0.035714286,0,0.035714286,0,0,0.035714286,0,1,0,0
25,N,"Lo más triste de que se cayera la señal de Tigo es que yo todo lo veo y lo tengo online, en la PC nueva no tengo nada ni música","['Lo', 'más', 'triste', 'de', 'que', 'se', 'cayera', 'la', 'señal', 'de', 'Tigo', 'es', 'que', 'yo', 'todo', 'lo', 'veo', 'y', 'lo', 'tengo', 'online', 'en', 'la', 'PC', 'nueva', 'no', 'tengo', 'nada', 'ni', 'música']",0.033333333,0,0.033333333,0.033333333,0,0.066666667,0,0.066666667,0,0,0,0,1,1
26,NEU,"Personas impacientes,Gaby y yo","['Personas', 'impacientes', 'Gaby', 'y', 'yo']",0,0,0.2,0,0,0.2,0,0,0,0,0,0,1,0
27,P,@Lonchs Amo estar libre hoy,"['', 'Lonchs', 'Amo', 'estar', 'libre', 'hoy']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,NEU,@somosciclismo Son las grandes promesas nuestras,"['', 'somosciclismo', 'Son', 'las', 'grandes', 'promesas', 'nuestras']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,P,@villalobossebas Tengo unas enormes ganotas de conocerte,"['', 'villalobossebas', 'Tengo', 'unas', 'enormes', 'ganotas', 'de', 'conocerte']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,P,"@anyelalj jajaja perdón, la serie está muy buena","['', 'anyelalj', 'jajaja', 'perdón', 'la', 'serie', 'está', 'muy', 'buena']",0,0,0,0,0,0.125,0,0.125,0,0.125,0,0,1,0
31,P,@DNchacon Igual vos. Lindo día y un fuerte abrazo,"['', 'DNchacon', 'Igual', 'vos', 'Lindo', 'día', 'y', 'un', 'fuerte', 'abrazo']",0,0,0,0,0.111111111,0,0.222222222,0,0,0.111111111,0,1,0,1
32,P,@blackbalam Que linda la gente educada. Un gran abrazo homosexual,"['', 'blackbalam', 'Que', 'linda', 'la', 'gente', 'educada', 'Un', 'gran', 'abrazo', 'homosexual']",0,0,0,0,0.1,0,0.1,0,0,0.1,0,1,0,1
33,N,Llego al aparta. Me desmayo del hambre y no hay nada,"['Llego', 'al', 'aparta', 'Me', 'desmayo', 'del', 'hambre', 'y', 'no', 'hay', 'nada']",0,0,0,0.090909091,0,0.181818182,0,0.181818182,0.090909091,0,0,0,1,1
34,N,@EsGermanDZ vivo con la necedad de algún día encontrarmelo en la calle,"['', 'EsGermanDZ', 'vivo', 'con', 'la', 'necedad', 'de', 'algún', 'día', 'encontrarmelo', 'en', 'la', 'calle']",0,0.083333333,0,0,0.083333333,0.083333333,0.083333333,0,0,0.083333333,1,0,0,0
35,P,@ignaciosolisw mucho éxito. Es muy satisfactorio cuando uno siente que logra transmitir algo,"['', 'ignaciosolisw', 'mucho', 'éxito', 'Es', 'muy', 'satisfactorio', 'cuando', 'uno', 'siente', 'que', 'logra', 'transmitir', 'algo']",0,0,0,0,0,0.076923077,0,0.076923077,0,0,0,0,1,0
36,NEU,@taliferreto jaja pero con el pasar del tiempo no se va a ver feo,"['', 'taliferreto', 'jaja', 'pero', 'con', 'el', 'pasar', 'del', 'tiempo', 'no', 'se', 'va', 'a', 'ver', 'feo']",0,0.142857143,0.071428571,0.071428571,0,0.071428571,0,0,0,0,0,0,1,0
37,N,"@Mayel_Oh Cuando te lo creés, lo sos. Pero bueno, el drama tampoco es tan bonito","['', 'Mayel', 'Oh', 'Cuando', 'te', 'lo', 'creés', 'lo', 'sos', 'Pero', 'bueno', 'el', 'drama', 'tampoco', 'es', 'tan', 'bonito']",0,0.0625,0,0,0.0625,0,0.0625,0,0.0625,0.0625,0,1,0,0
38,NEU,"@ushcala ¡Gracias! Ojalá eso sea cierto. Pucha, de verdad uno siente responsabilidad cuando invierten en uno","['', 'ushcala', 'Gracias', 'Ojalá', 'eso', 'sea', 'cierto', 'Pucha', 'de', 'verdad', 'uno', 'siente', 'responsabilidad', 'cuando', 'invierten', 'en', 'uno']",0,0,0,0,0,0,0.125,0,0,0.125,0,1,0,0
39,P,Ayer @Erick_SandovalC revisó mis lechugas y me felicitó. Hoy me siento como la mejor agricultora del mundo.,"['Ayer', 'Erick', 'SandovalC', 'revisó', 'mis', 'lechugas', 'y', 'me', 'felicitó', 'Hoy', 'me', 'siento', 'como', 'la', 'mejor', 'agricultora', 'del', 'mundo', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,P,@ushcala mi objetivo es seguir aprendiendo. Por dicha uno nunca para de aprender. Por ahí espero seguir asombrándome,"['', 'ushcala', 'mi', 'objetivo', 'es', 'seguir', 'aprendiendo', 'Por', 'dicha', 'uno', 'nunca', 'para', 'de', 'aprender', 'Por', 'ahí', 'espero', 'seguir', 'asombrándome']",0,0.055555556,0,0,0,0,0.111111111,0,0,0.055555556,0,1,0,1
41,NEU,"@arguedasortiz Yo pago el de La Nación y El Financiero juntos, que es un poquitín menos de los ¢6.000","['', 'arguedasortiz', 'Yo', 'pago', 'el', 'de', 'La', 'Nación', 'y', 'El', 'Financiero', 'juntos', 'que', 'es', 'un', 'poquitín', 'menos', 'de', 'los', '6', '000']",0,0,0,0,0,0.05,0,0,0,0,0,0,1,0
42,NEU,"Resulta que el Dr. tiene 24 años, es super guapo, educado y amable. Pero vive en Cartago, siempre viven largo.","['Resulta', 'que', 'el', 'Dr', 'tiene', '24', 'años', 'es', 'super', 'guapo', 'educado', 'y', 'amable', 'Pero', 'vive', 'en', 'Cartago', 'siempre', 'viven', 'largo', '']",0,0.05,0,0,0.05,0,0.1,0,0,0.05,0,1,0,0
43,N,me siento mal de no encontrarle nada de especial a la luna. pero solo veo el mismo punto blanco de siempre.,"['me', 'siento', 'mal', 'de', 'no', 'encontrarle', 'nada', 'de', 'especial', 'a', 'la', 'luna', 'pero', 'solo', 'veo', 'el', 'mismo', 'punto', 'blanco', 'de', 'siempre', '']",0.047619048,0.047619048,0.047619048,0.047619048,0.095238095,0.095238095,0.095238095,0.095238095,0,0.047619048,1,0,0,0
44,N,Con mi tamaño y una tractora se atrevió a usurpar mi espacio personal en el bus. Nada las detiene; parezco una sardina.,"['Con', 'mi', 'tamaño', 'y', 'una', 'tractora', 'se', 'atrevió', 'a', 'usurpar', 'mi', 'espacio', 'personal', 'en', 'el', 'bus', 'Nada', 'las', 'detiene', 'parezco', 'una', 'sardina', '']",0.045454545,0,0,0,0,0.090909091,0,0.045454545,0,0.045454545,0,0,1,1
45,P,"Bong, pipa, picadora, boletas, vaporizador, soplete, 5gs de wax... Todo en el bolso. Me requisan y no me quitan nada! Un buen día","['Bong', 'pipa', 'picadora', 'boletas', 'vaporizador', 'soplete', '5gs', 'de', 'wax', 'Todo', 'en', 'el', 'bolso', 'Me', 'requisan', 'y', 'no', 'me', 'quitan', 'nada', 'Un', 'buen', 'día']",0,0,0,0,0,0.043478261,0,0.043478261,0,0,0,0,1,0
46,NEU,@Calikhaug @kolbi_cr A mi Movistar me llama para preguntarme si estoy satisfecho con mi servicio y si hay algo que puede hacer por mi,"['', 'Calikhaug', 'kolbi', 'cr', 'A', 'mi', 'Movistar', 'me', 'llama', 'para', 'preguntarme', 'si', 'estoy', 'satisfecho', 'con', 'mi', 'servicio', 'y', 'si', 'hay', 'algo', 'que', 'puede', 'hacer', 'por', 'mi']",0,0,0,0,0.04,0,0.08,0,0,0,0,1,0,0
47,NEU,"bueno a mi check de pendientes, con Izetta finalizada...de 1 a 10 mmm creo que 7.5 me dejo con una molestia por el final acelerado","['bueno', 'a', 'mi', 'check', 'de', 'pendientes', 'con', 'Izetta', 'finalizada', 'de', '1', 'a', '10', 'mmm', 'creo', 'que', '7', '5', 'me', 'dejo', 'con', 'una', 'molestia', 'por', 'el', 'final', 'acelerado']",0.037037037,0.037037037,0.037037037,0,0.037037037,0.037037037,0.037037037,0,0.037037037,0.037037037,1,0,0,1
48,NEU,"Cada vez que veo una moto de Correos de Costa Rica, yo soy como: «Señor, ¿no lleva algo ahí con mi nombre?» Ahorita llega, ahorita llega.","['Cada', 'vez', 'que', 'veo', 'una', 'moto', 'de', 'Correos', 'de', 'Costa', 'Rica', 'yo', 'soy', 'como', 'Señor', 'no', 'lleva', 'algo', 'ahí', 'con', 'mi', 'nombre', 'Ahorita', 'llega', 'ahorita', 'llega', '']",0,0,0,0,0,0,0.038461538,0,0,0,0,1,0,0
49,N,"Él es raro, pero es hay q estar demasiado mal de la cabeza para querer estar con alguien tan dañada como yo. -Yo, hablando con mi papá.","['Él', 'es', 'raro', 'pero', 'es', 'hay', 'q', 'estar', 'demasiado', 'mal', 'de', 'la', 'cabeza', 'para', 'querer', 'estar', 'con', 'alguien', 'tan', 'dañada', 'como', 'yo', 'Yo', 'hablando', 'con', 'mi', 'papá', '']",0.037037037,0,0.037037037,0.037037037,0,0.074074074,0,0.074074074,0,0,0,0,1,1
50,N,"Al chile no hay ninguna foto en la que me etiqueten que no parezca que digo ""miren que papa salgo, por si no sabían me quiero morir sola""","['Al', 'chile', 'no', 'hay', 'ninguna', 'foto', 'en', 'la', 'que', 'me', 'etiqueten', 'que', 'no', 'parezca', 'que', 'digo', 'miren', 'que', 'papa', 'salgo', 'por', 'si', 'no', 'sabían', 'me', 'quiero', 'morir', 'sola', '']",0,0,0,0.035714286,0,0.035714286,0.035714286,0.035714286,0,0,1,0,0,0
51,N,"Mi profe de TCU sí es odioso, a un mae por 9 afiches le dio 90 horas y a mí me dice que me apunte lo que duré, di duré 5 horas","['Mi', 'profe', 'de', 'TCU', 'sí', 'es', 'odioso', 'a', 'un', 'mae', 'por', '9', 'afiches', 'le', 'dio', '90', 'horas', 'y', 'a', 'mí', 'me', 'dice', 'que', 'me', 'apunte', 'lo', 'que', 'duré', 'di', 'duré', '5', 'horas']",0.03125,0,0.03125,0.03125,0,0.03125,0,0.03125,0,0,0,0,1,1
52,P,Que lindo ir despacio,"['Que', 'lindo', 'ir', 'despacio']",0,0,0,0,0,0,0.25,0,0,0,0,1,0,1
53,NEU,@somekindofEdu yo estaba todo feliz,"['', 'somekindofEdu', 'yo', 'estaba', 'todo', 'feliz']",0,0.2,0,0,0.2,0,0.2,0,0,0.2,0,1,0,0
54,NEU,Último fin de semana de vacaciones,"['Último', 'fin', 'de', 'semana', 'de', 'vacaciones']",0,0.166666667,0,0,0.166666667,0,0.166666667,0,0,0,0,1,0,0
55,NEU,el francotirador esparzano murio en su ley,"['el', 'francotirador', 'esparzano', 'murio', 'en', 'su', 'ley']",0,0,0,0,0,0,0,0,0,0.142857143,1,0,0,1
56,NEU,@LaurentMejia sii!! antes que entremos a clases tierna,"['', 'LaurentMejia', 'sii', 'antes', 'que', 'entremos', 'a', 'clases', 'tierna']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
57,NEU,"@davoulloa Sí, completamente innecesario. Jajaja. Tan linda la intimidad.","['', 'davoulloa', 'Sí', 'completamente', 'innecesario', 'Jajaja', 'Tan', 'linda', 'la', 'intimidad', '']",0,0,0,0,0,0,0.111111111,0,0,0.111111111,0,1,0,0
58,P,"@sancarlena77 mi otro queso favorito #UberEmpanadas (?) jaja, provecho guapa","['', 'sancarlena77', 'mi', 'otro', 'queso', 'favorito', 'UberEmpanadas', 'jaja', 'provecho', 'guapa']",0,0,0,0,0.111111111,0,0.111111111,0,0,0.111111111,0,1,0,1
59,N,Mi intento de hacer mi estómago más pequeño es muy duro,"['Mi', 'intento', 'de', 'hacer', 'mi', 'estómago', 'más', 'pequeño', 'es', 'muy', 'duro']",0,0.090909091,0,0,0,0.181818182,0.090909091,0.181818182,0,0,0,0,1,1
60,N,Desearía que aurin no estuviera sucia y mojada para que duerma cnmigo,"['Desearía', 'que', 'aurin', 'no', 'estuviera', 'sucia', 'y', 'mojada', 'para', 'que', 'duerma', 'cnmigo']",0,0,0.083333333,0,0,0.083333333,0,0,0,0,0,0,1,1
61,P,"@dileivac seguro no entendiste bien la trama, véala de nuevo, es toda linda.","['', 'dileivac', 'seguro', 'no', 'entendiste', 'bien', 'la', 'trama', 'véala', 'de', 'nuevo', 'es', 'toda', 'linda', '']",0,0,0,0,0.076923077,0,0.076923077,0,0,0.076923077,0,1,0,1
62,P,Y se acabó El Oso el Tigre y los demás fue bueno mientras duró,"['Y', 'se', 'acabó', 'El', 'Oso', 'el', 'Tigre', 'y', 'los', 'demás', 'fue', 'bueno', 'mientras', 'duró']",0,0.071428571,0,0,0.071428571,0,0.071428571,0,0.071428571,0.071428571,0,1,0,1
63,P,"@NellaZ OMG que rico. Quiero quiero , pero fijo soy el peor alumno pero quiero","['', 'NellaZ', 'OMG', 'que', 'rico', 'Quiero', 'quiero', 'pero', 'fijo', 'soy', 'el', 'peor', 'alumno', 'pero', 'quiero']",0,0,0,0.071428571,0,0.071428571,0,0.071428571,0,0.071428571,0,0,1,0
64,NEU,Pidan canciones en mi insta y canto un pedacito en la historia con Ukulele IG: oscarguadamuz,"['Pidan', 'canciones', 'en', 'mi', 'insta', 'y', 'canto', 'un', 'pedacito', 'en', 'la', 'historia', 'con', 'Ukulele', 'IG', 'oscarguadamuz']",0.0625,0.0625,0,0,0.0625,0,0.0625,0,0.0625,0,0,1,0,0
65,N,Quería broncearme las nalgas en el patio de mi casa en San Ramón y amaneció súper nublado,"['Quería', 'broncearme', 'las', 'nalgas', 'en', 'el', 'patio', 'de', 'mi', 'casa', 'en', 'San', 'Ramón', 'y', 'amaneció', 'súper', 'nublado']",0,0,0,0,0,0.058823529,0.058823529,0.058823529,0,0,1,0,0,0
66,P,@daviiidez Felicidades!! Yo ni esperanza de ser tío tengo Lo mas cercano es la hija de mi prima!!,"['', 'daviiidez', 'Felicidades', 'Yo', 'ni', 'esperanza', 'de', 'ser', 'tío', 'tengo', 'Lo', 'mas', 'cercano', 'es', 'la', 'hija', 'de', 'mi', 'prima', '']",0,0.111111111,0,0,0.166666667,0,0.166666667,0,0.111111111,0.055555556,0,1,0,1
67,NEU,@matiesau Yo necesito una piedra hielo. La única que conseguí fue para Vulpix Alola. Tengo que sacarla del Resort,"['', 'matiesau', 'Yo', 'necesito', 'una', 'piedra', 'hielo', 'La', 'única', 'que', 'conseguí', 'fue', 'para', 'Vulpix', 'Alola', 'Tengo', 'que', 'sacarla', 'del', 'Resort']",0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0,1,0
68,P,Admiro demasiado cuando las mujeres suben fotos en vestido de baño y así porque mi complejo no me lo permite.,"['Admiro', 'demasiado', 'cuando', 'las', 'mujeres', 'suben', 'fotos', 'en', 'vestido', 'de', 'baño', 'y', 'así', 'porque', 'mi', 'complejo', 'no', 'me', 'lo', 'permite', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,NEU,"Tan largo, tan cerca, serás tú , o no, tantas similitudes, pero no , yo sólo esperó lo que Dios quiera","['Tan', 'largo', 'tan', 'cerca', 'serás', 'tú', 'o', 'no', 'tantas', 'similitudes', 'pero', 'no', 'yo', 'sólo', 'esperó', 'lo', 'que', 'Dios', 'quiera']",0,0.105263158,0,0.052631579,0.052631579,0,0.052631579,0,0,0.052631579,0,1,0,0
70,N,Es posible que hoy sea mi última noche con Koki (está terriblemente enfermo y ya está muy viejito) y no puedo dormir,"['Es', 'posible', 'que', 'hoy', 'sea', 'mi', 'última', 'noche', 'con', 'Koki', 'está', 'terriblemente', 'enfermo', 'y', 'ya', 'está', 'muy', 'viejito', 'y', 'no', 'puedo', 'dormir']",0.045454545,0,0.045454545,0.045454545,0,0.090909091,0,0.136363636,0,0,0,0,1,1
71,N,"Gente desubicada y un vecino arreglando el techo a estas horas de la noche, además al preguntar, que te conteste: es mi techo","['Gente', 'desubicada', 'y', 'un', 'vecino', 'arreglando', 'el', 'techo', 'a', 'estas', 'horas', 'de', 'la', 'noche', 'además', 'al', 'preguntar', 'que', 'te', 'conteste', 'es', 'mi', 'techo']",0,0.043478261,0,0,0,0,0.043478261,0,0,0.043478261,0,1,0,0
72,P,En paseo hay un raptor 700R special edition a $ 12 000 y es una BELLEZA . Lástima que no tengo $ 12 000,"['En', 'paseo', 'hay', 'un', 'raptor', '700R', 'special', 'edition', 'a', '12', '000', 'y', 'es', 'una', 'BELLEZA', 'Lástima', 'que', 'no', 'tengo', '12', '000']",0,0,0,0,0.047619048,0,0.047619048,0,0,0,0,1,0,1
73,N,"@alexa_camacho_ ese vídeo para mí está muy raro. Pobrecitas las chiquitas, pero si la mamá fue mala con el mae en vida, lo están pagando","['', 'alexa', 'camacho', 'ese', 'vídeo', 'para', 'mí', 'está', 'muy', 'raro', 'Pobrecitas', 'las', 'chiquitas', 'pero', 'si', 'la', 'mamá', 'fue', 'mala', 'con', 'el', 'mae', 'en', 'vida', 'lo', 'están', 'pagando']",0,0,0,0,0,0.038461538,0,0.038461538,0,0,0,0,1,1
74,N,"Ese es el problema, que la mayoría de personas se confían cuando el huracán toca tierra sin saber que la parte este es la más peligrosa","['Ese', 'es', 'el', 'problema', 'que', 'la', 'mayoría', 'de', 'personas', 'se', 'confían', 'cuando', 'el', 'huracán', 'toca', 'tierra', 'sin', 'saber', 'que', 'la', 'parte', 'este', 'es', 'la', 'más', 'peligrosa']",0,0,0,0.038461538,0,0.038461538,0.038461538,0.038461538,0,0,1,0,0,0
75,N,No es divertido cuando Gaby tiene el control de todo por haberme pasado en la serie. Cada vez que me llega un mensaje me da miedo verlo.,"['No', 'es', 'divertido', 'cuando', 'Gaby', 'tiene', 'el', 'control', 'de', 'todo', 'por', 'haberme', 'pasado', 'en', 'la', 'serie', 'Cada', 'vez', 'que', 'me', 'llega', 'un', 'mensaje', 'me', 'da', 'miedo', 'verlo', '']",0.037037037,0.074074074,0.037037037,0.037037037,0.037037037,0.074074074,0.037037037,0,0.037037037,0.037037037,0,0,1,1
76,NEU,"Vale: MAE HOY CONOCI UN MAE SUPER GUAPO, SUAVE YA TE ENSEÑO UNA FOTO *5 min despues me lo enseña* Yo: Valeria ese es mi ex Jajajaj siaa.","['Vale', 'MAE', 'HOY', 'CONOCI', 'UN', 'MAE', 'SUPER', 'GUAPO', 'SUAVE', 'YA', 'TE', 'ENSEÑO', 'UNA', 'FOTO', '5', 'min', 'despues', 'me', 'lo', 'enseña', 'Yo', 'Valeria', 'ese', 'es', 'mi', 'ex', 'Jajajaj', 'siaa', '']",0,0,0,0,0,0,0,0,0,0.035714286,1,0,0,1
77,N,"Hoy voy a que me hagan pava, pero estoy segura que de nuevo me van a decir ""Nana, NO, su frente es muy pequeña"". La historia de mi vida","['Hoy', 'voy', 'a', 'que', 'me', 'hagan', 'pava', 'pero', 'estoy', 'segura', 'que', 'de', 'nuevo', 'me', 'van', 'a', 'decir', 'Nana', 'NO', 'su', 'frente', 'es', 'muy', 'pequeña', 'La', 'historia', 'de', 'mi', 'vida']",0,0,0,0,0,0.034482759,0,0.034482759,0,0,0,0,1,1
78,P,@RenEgair No. tampoco soy cursi,"['', 'RenEgair', 'No', 'tampoco', 'soy', 'cursi']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,NEU,Muy rico pero no es gracioso,"['Muy', 'rico', 'pero', 'no', 'es', 'gracioso']",0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,1,0,0,1
